;gender;ethnicity;score;fcollege;mcollege;home;urban;unemp;wage;distance;tuition;education;income;region
52;female;other;449.599.990.844.727;no;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;12;low;other
53;female;other;37.310.001.373.291;no;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;12;low;other
54;male;other;398.699.989.318.848;no;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;12;low;other
55;female;other;56.439.998.626.709;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.100000001490116;0.84987998008728;16;low;other
56;male;afam;426.500.015.258.789;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.100000001490116;0.84987998008728;12;low;other
57;female;other;600.499.992.370.605;yes;yes;yes;no;540.000.009.536.743;885.000.038.146.973;0.100000001490116;0.84987998008728;15;high;other
58;female;other;383.199.996.948.242;no;no;no;no;540.000.009.536.743;885.000.038.146.973;0.100000001490116;0.84987998008728;12;low;other
59;female;other;65.870.002.746.582;yes;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.100000001490116;0.84987998008728;15;high;other
60;male;other;446.500.015.258.789;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.100000001490116;0.84987998008728;13;low;other
61;male;other;577.400.016.784.668;no;no;yes;no;5.5;809.000.015.258.789;1.5;0.889150023460388;16;high;other
62;male;other;603.800.010.681.152;yes;no;yes;no;5.5;809.000.015.258.789;1.5;0.889150023460388;12;high;other
63;male;other;627.700.004.577.637;no;no;no;no;5.5;809.000.015.258.789;1.5;0.889150023460388;12;high;other
64;male;other;597.299.995.422.363;no;no;yes;no;5.5;809.000.015.258.789;1.5;0.889150023460388;16;low;other
65;female;other;57.060.001.373.291;yes;no;yes;no;5.5;809.000.015.258.789;1.5;0.889150023460388;16;high;other
66;female;other;580.200.004.577.637;no;no;yes;no;5.5;809.000.015.258.789;1.5;0.889150023460388;15;low;other
67;female;other;547.400.016.784.668;no;no;yes;no;5.5;809.000.015.258.789;1.5;0.889150023460388;12;low;other
68;female;other;462.799.987.792.969;no;no;yes;no;690.000.009.536.743;703.999.996.185.303;2;0.902999997138977;14;low;other
69;female;other;604.000.015.258.789;no;no;yes;no;690.000.009.536.743;703.999.996.185.303;2;0.902999997138977;12;low;other
70;male;other;532.099.990.844.727;no;no;yes;no;690.000.009.536.743;703.999.996.185.303;2;0.902999997138977;18;high;other
71;female;other;609.300.003.051.758;no;no;yes;no;6.5;809.000.015.258.789;1.5;0.889150023460388;14;low;other
72;female;other;48.439.998.626.709;no;no;yes;no;6.5;809.000.015.258.789;1.5;0.889150023460388;15;low;other
73;female;other;45.310.001.373.291;no;no;yes;no;769.999.980.926.514;703.999.996.185.303;2;0.902999997138977;12;low;other
74;male;other;602.200.012.207.031;yes;no;yes;no;769.999.980.926.514;703.999.996.185.303;2;0.902999997138977;12;high;other
75;male;other;564.199.981.689.453;no;no;yes;no;769.999.980.926.514;703.999.996.185.303;2;0.902999997138977;16;low;other
76;female;other;622.700.004.577.637;no;yes;yes;no;769.999.980.926.514;703.999.996.185.303;2;0.902999997138977;17;high;other
77;male;other;518.400.001.525.879;yes;yes;no;no;440.000.009.536.743;809.000.015.258.789;0.5;0.889150023460388;18;high;other
78;female;other;575.499.992.370.605;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;0.5;0.889150023460388;16;high;other
79;female;other;576.199.989.318.848;yes;no;yes;no;440.000.009.536.743;809.000.015.258.789;0.5;0.889150023460388;12;high;other
80;male;other;57.5;no;yes;yes;no;440.000.009.536.743;809.000.015.258.789;0.5;0.889150023460388;12;high;other
81;male;other;653.099.975.585.938;yes;no;yes;no;7.5;809.000.015.258.789;0.5;0.889150023460388;16;low;other
82;male;other;506.199.989.318.848;yes;no;yes;no;7.5;809.000.015.258.789;0.5;0.889150023460388;14;high;other
83;male;other;512.299.995.422.363;no;no;yes;no;7.5;809.000.015.258.789;0.5;0.889150023460388;15;low;other
84;female;other;535.499.992.370.605;no;no;no;no;7.5;809.000.015.258.789;0.5;0.889150023460388;14;low;other
85;female;other;485.200.004.577.637;no;no;yes;no;7.5;809.000.015.258.789;0.5;0.889150023460388;12;low;other
86;female;other;434.099.998.474.121;no;no;yes;no;7.5;809.000.015.258.789;0.5;0.889150023460388;14;low;other
87;female;other;57.5;no;no;yes;no;7.5;809.000.015.258.789;0.5;0.889150023460388;14;low;other
88;female;other;513.199.996.948.242;no;no;yes;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;15;low;other
89;female;other;363.699.989.318.848;no;no;no;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;12;low;other
90;female;other;437.999.992.370.605;no;no;yes;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;12;low;other
91;female;other;451.399.993.896.484;no;no;yes;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;12;high;other
92;female;other;632.599.983.215.332;no;no;yes;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;16;low;other
93;female;other;513.199.996.948.242;yes;yes;yes;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;17;low;other
94;male;other;442.299.995.422.363;no;no;yes;no;590.000.009.536.743;709.000.015.258.789;120.000.004.768.372;138.568.007.946.014;12;low;other
95;female;other;429.300.003.051.758;no;no;yes;no;530.000.019.073.486;809.000.015.258.789;0.100000001490116;0.889150023460388;12;high;other
96;female;other;475.999.984.741.211;no;no;yes;no;530.000.019.073.486;809.000.015.258.789;0.100000001490116;0.889150023460388;12;low;other
97;male;other;564.700.012.207.031;yes;no;yes;no;530.000.019.073.486;809.000.015.258.789;0.100000001490116;0.889150023460388;13;high;other
98;male;other;646.900.024.414.062;no;no;yes;no;530.000.019.073.486;809.000.015.258.789;0.100000001490116;0.889150023460388;16;low;other
99;female;other;623.499.984.741.211;yes;yes;yes;no;530.000.019.073.486;809.000.015.258.789;0.100000001490116;0.889150023460388;16;low;other
100;female;other;489.599.990.844.727;no;no;yes;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;12;low;other
101;female;other;402.799.987.792.969;no;no;yes;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;12;high;other
102;male;other;446.599.998.474.121;no;no;yes;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;12;low;other
103;male;other;654.599.990.844.727;no;no;no;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;12;low;other
104;female;other;37.810.001.373.291;no;no;yes;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;12;low;other
105;male;other;669.499.969.482.422;yes;yes;yes;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;16;high;other
106;female;other;556.399.993.896.484;no;no;yes;no;609.999.990.463.257;769.000.005.722.046;2.5;111.201.000.213.623;16;high;other
107;female;other;512.799.987.792.969;no;yes;yes;no;6.5;809.000.015.258.789;3.5;0.889150023460388;16;low;other
108;female;other;527.799.987.792.969;no;no;yes;no;6.5;809.000.015.258.789;3.5;0.889150023460388;14;low;other
109;female;other;645.999.984.741.211;no;no;yes;no;6.5;809.000.015.258.789;3.5;0.889150023460388;16;low;other
110;female;other;617.299.995.422.363;yes;no;yes;no;6.5;809.000.015.258.789;3.5;0.889150023460388;16;low;other
111;male;afam;50.810.001.373.291;no;yes;yes;no;540.000.009.536.743;809.000.015.258.789;189.999.997.615.814;0.889150023460388;16;low;other
112;male;other;444.599.990.844.727;yes;yes;yes;no;540.000.009.536.743;809.000.015.258.789;189.999.997.615.814;0.889150023460388;12;high;other
113;female;other;415.800.018.310.547;no;no;yes;no;13.5;769.000.005.722.046;5;111.201.000.213.623;12;low;other
114;female;other;407.000.007.629.395;no;no;no;no;13.5;769.000.005.722.046;5;111.201.000.213.623;12;low;other
115;female;other;396.300.010.681.152;no;no;yes;no;13.5;769.000.005.722.046;5;111.201.000.213.623;12;low;other
116;female;other;541.699.981.689.453;no;no;yes;no;13.5;769.000.005.722.046;5;111.201.000.213.623;12;low;other
117;male;hispanic;389.500.007.629.395;no;no;yes;no;13.5;769.000.005.722.046;5;111.201.000.213.623;13;high;other
118;female;other;628.400.001.525.879;no;no;yes;no;13.5;769.000.005.722.046;5;111.201.000.213.623;15;low;other
119;male;other;644.800.033.569.336;no;no;no;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;16;low;other
120;female;other;470.900.001.525.879;no;no;yes;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;12;high;other
121;female;other;509.500.007.629.395;no;no;yes;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;12;low;other
122;male;other;444.599.990.844.727;no;no;yes;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;12;high;other
123;female;other;588.899.993.896.484;no;yes;no;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;12;high;other
124;female;afam;543.600.006.103.516;no;no;yes;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;16;low;other
125;female;other;452.900.009.155.273;no;no;yes;no;869.999.980.926.514;885.000.038.146.973;1.5;0.84987998008728;13;low;other
126;female;other;541.699.981.689.453;no;no;yes;no;6.5;809.000.015.258.789;0.800000011920929;0.889150023460388;15;low;other
127;male;other;527.400.016.784.668;yes;no;yes;no;6.5;809.000.015.258.789;0.800000011920929;0.889150023460388;12;high;other
128;male;other;60.939.998.626.709;no;no;yes;no;6.5;809.000.015.258.789;0.800000011920929;0.889150023460388;12;low;other
129;male;other;401.800.003.051.758;no;no;yes;no;6.5;809.000.015.258.789;0.800000011920929;0.889150023460388;12;high;other
130;female;other;580.900.001.525.879;no;yes;yes;no;6.5;809.000.015.258.789;0.800000011920929;0.889150023460388;12;low;other
131;male;other;542.599.983.215.332;no;no;yes;no;6.5;809.000.015.258.789;0.800000011920929;0.889150023460388;14;low;other
132;female;other;571.300.010.681.152;yes;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;16;high;other
133;female;other;649.800.033.569.336;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;12;low;other
134;male;other;653.499.984.741.211;no;no;no;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;14;low;other
135;female;other;559.599.990.844.727;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;12;low;other
136;female;other;617.299.995.422.363;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;16;high;other
137;male;other;563.499.984.741.211;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;12;low;other
138;male;other;510.999.984.741.211;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;13;high;other
139;female;other;395.200.004.577.637;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;12;low;other
140;female;other;60.75;yes;yes;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;16;low;other
141;male;other;38.189.998.626.709;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;12;low;other
142;female;other;510.200.004.577.637;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;16;low;other
143;male;other;536.500.015.258.789;no;no;yes;no;780.000.019.073.486;769.000.005.722.046;179.999.995.231.628;111.201.000.213.623;16;low;other
144;male;other;563.499.984.741.211;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;15;high;other
145;female;other;529.500.007.629.395;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;15;high;other
146;male;other;634.099.998.474.121;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;13;low;other
147;male;other;661.699.981.689.453;yes;yes;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;16;high;other
148;male;other;450.999.984.741.211;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;13;high;other
149;male;other;669.499.969.482.422;yes;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;16;low;other
150;female;other;629.000.015.258.789;yes;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.800000011920929;0.84987998008728;18;high;other
151;male;other;529.799.995.422.363;yes;yes;yes;no;719.999.980.926.514;885.000.038.146.973;0.800000011920929;0.84987998008728;13;high;other
152;female;other;622.900.009.155.273;no;yes;yes;no;719.999.980.926.514;885.000.038.146.973;0.800000011920929;0.84987998008728;13;low;other
153;male;other;44.310.001.373.291;no;yes;yes;no;719.999.980.926.514;885.000.038.146.973;0.800000011920929;0.84987998008728;12;low;other
154;female;other;641.100.006.103.516;yes;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;16;low;other
155;male;other;586.199.989.318.848;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;13;high;other
156;female;other;569.199.981.689.453;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;12;low;other
157;female;other;526.699.981.689.453;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;12;low;other
158;male;other;648.300.018.310.547;yes;yes;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;15;high;other
159;male;other;499.000.015.258.789;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;12;low;other
160;female;other;625.499.992.370.605;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;17;high;other
161;male;other;664.899.978.637.695;no;no;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;17;high;other
162;male;other;621.399.993.896.484;yes;yes;yes;no;440.000.009.536.743;809.000.015.258.789;1.5;0.889150023460388;17;high;other
163;male;other;492.000.007.629.395;no;no;yes;yes;6.5;809.000.015.258.789;0.200000002980232;0.889150023460388;13;low;other
164;female;other;514.700.012.207.031;no;no;yes;yes;6.5;809.000.015.258.789;0.200000002980232;0.889150023460388;14;low;other
165;female;other;621.500.015.258.789;no;no;yes;yes;6.5;809.000.015.258.789;0.200000002980232;0.889150023460388;14;low;other
166;female;afam;432.599.983.215.332;no;no;no;yes;6.5;809.000.015.258.789;0.200000002980232;0.889150023460388;12;low;other
167;female;other;545.400.009.155.273;no;yes;no;yes;6.5;809.000.015.258.789;0.200000002980232;0.889150023460388;12;low;other
168;male;other;587.200.012.207.031;no;no;yes;yes;6.5;809.000.015.258.789;0.200000002980232;0.889150023460388;18;low;other
169;female;other;578.800.010.681.152;yes;yes;yes;no;509.999.990.463.257;885.000.038.146.973;0.100000001490116;0.84987998008728;13;high;other
170;female;other;68.5;yes;no;no;no;509.999.990.463.257;885.000.038.146.973;0.100000001490116;0.84987998008728;15;low;other
171;male;other;526.399.993.896.484;no;yes;yes;no;509.999.990.463.257;885.000.038.146.973;0.100000001490116;0.84987998008728;15;high;other
172;female;other;375.400.009.155.273;no;yes;no;yes;819.999.980.926.514;769.000.005.722.046;320.000.004.768.372;111.201.000.213.623;12;low;other
173;male;other;635.900.001.525.879;no;no;no;yes;819.999.980.926.514;769.000.005.722.046;320.000.004.768.372;111.201.000.213.623;16;low;other
174;female;other;499.000.015.258.789;no;no;yes;yes;819.999.980.926.514;769.000.005.722.046;320.000.004.768.372;111.201.000.213.623;12;low;other
175;male;other;671.800.003.051.758;yes;yes;yes;yes;819.999.980.926.514;769.000.005.722.046;320.000.004.768.372;111.201.000.213.623;15;low;other
176;female;other;610.200.004.577.637;no;no;yes;yes;819.999.980.926.514;769.000.005.722.046;320.000.004.768.372;111.201.000.213.623;12;low;other
177;female;other;558.899.993.896.484;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.600000023841858;0.84987998008728;16;high;other
178;male;other;592.400.016.784.668;no;no;yes;no;103.999.996.185.303;769.000.005.722.046;0;111.201.000.213.623;15;low;other
179;male;other;629.799.995.422.363;yes;no;yes;no;103.999.996.185.303;769.000.005.722.046;0;111.201.000.213.623;18;high;other
180;male;other;510.800.018.310.547;no;no;yes;no;103.999.996.185.303;769.000.005.722.046;0;111.201.000.213.623;12;low;other
181;female;other;571.199.989.318.848;no;no;yes;no;103.999.996.185.303;769.000.005.722.046;0;111.201.000.213.623;15;high;other
182;female;other;604.099.998.474.121;no;no;yes;no;103.999.996.185.303;769.000.005.722.046;0;111.201.000.213.623;17;low;other
183;female;other;442.799.987.792.969;no;no;yes;no;103.999.996.185.303;769.000.005.722.046;0;111.201.000.213.623;12;low;other
184;male;other;530.499.992.370.605;no;no;no;no;5.5;809.000.015.258.789;0.699999988079071;0.889150023460388;13;low;other
185;female;other;487.999.992.370.605;no;no;yes;no;5.5;809.000.015.258.789;0.699999988079071;0.889150023460388;12;low;other
186;male;other;535.900.001.525.879;no;no;yes;no;5.5;809.000.015.258.789;0.699999988079071;0.889150023460388;15;low;other
187;male;other;392.099.990.844.727;no;no;yes;no;5.5;809.000.015.258.789;0.699999988079071;0.889150023460388;12;low;other
188;female;other;659.300.003.051.758;yes;yes;yes;yes;509.999.990.463.257;885.000.038.146.973;1.5;0.84987998008728;14;low;other
189;female;other;560.800.018.310.547;no;yes;yes;yes;509.999.990.463.257;885.000.038.146.973;1.5;0.84987998008728;16;low;other
190;male;other;631.300.010.681.152;no;yes;yes;yes;509.999.990.463.257;885.000.038.146.973;1.5;0.84987998008728;17;high;other
191;female;other;583.699.989.318.848;no;no;yes;yes;509.999.990.463.257;885.000.038.146.973;1.5;0.84987998008728;16;low;other
192;male;other;599.099.998.474.121;no;yes;yes;yes;509.999.990.463.257;885.000.038.146.973;1.5;0.84987998008728;15;high;other
193;male;afam;514.000.015.258.789;no;no;no;yes;8;964.000.034.332.275;0.300000011920929;115.242.004.394.531;14;low;other
194;female;hispanic;490.900.001.525.879;no;no;no;yes;8;964.000.034.332.275;0.300000011920929;115.242.004.394.531;17;low;other
195;male;other;574.900.016.784.668;no;no;yes;no;630.000.019.073.486;964.000.034.332.275;2;115.242.004.394.531;17;high;other
196;female;afam;453.600.006.103.516;yes;yes;no;yes;8;964.000.034.332.275;0.100000001490116;115.242.004.394.531;16;high;other
197;male;other;44.689.998.626.709;no;no;yes;yes;8;964.000.034.332.275;0.100000001490116;115.242.004.394.531;13;low;other
198;male;afam;458.400.001.525.879;no;no;no;yes;8;964.000.034.332.275;0;115.242.004.394.531;12;low;other
199;male;afam;556.599.998.474.121;no;no;yes;yes;8;964.000.034.332.275;0;115.242.004.394.531;16;low;other
200;male;hispanic;357.999.992.370.605;no;no;no;yes;8;964.000.034.332.275;0;115.242.004.394.531;12;low;other
201;male;afam;442.400.016.784.668;no;no;no;yes;8;964.000.034.332.275;0;115.242.004.394.531;14;high;other
202;male;afam;513.300.018.310.547;yes;yes;yes;yes;8;964.000.034.332.275;0;115.242.004.394.531;13;high;other
203;male;afam;564.599.990.844.727;no;yes;no;yes;8;964.000.034.332.275;0.400000005960464;115.242.004.394.531;15;high;other
204;male;other;480.299.987.792.969;no;no;yes;yes;8;964.000.034.332.275;0.400000005960464;115.242.004.394.531;12;low;other
205;male;other;637.700.004.577.637;no;no;no;yes;8;964.000.034.332.275;0;115.242.004.394.531;17;low;other
206;female;other;699.000.015.258.789;no;no;yes;yes;8;964.000.034.332.275;0;115.242.004.394.531;17;low;other
207;female;other;668.899.993.896.484;no;no;no;yes;8;964.000.034.332.275;0;115.242.004.394.531;16;low;other
208;female;other;684.400.024.414.062;yes;no;no;yes;8;964.000.034.332.275;0;115.242.004.394.531;17;low;other
209;male;afam;548.499.984.741.211;no;no;yes;yes;8;964.000.034.332.275;0;115.242.004.394.531;13;low;other
210;male;other;623.600.006.103.516;yes;yes;no;yes;8;964.000.034.332.275;1.5;115.242.004.394.531;16;high;other
211;female;other;440.400.009.155.273;no;no;no;yes;8;964.000.034.332.275;1.5;115.242.004.394.531;12;low;other
212;male;hispanic;569.300.003.051.758;no;no;yes;yes;8;964.000.034.332.275;1.5;115.242.004.394.531;16;low;other
213;male;afam;435.400.009.155.273;no;no;yes;yes;8;964.000.034.332.275;1.5;115.242.004.394.531;13;low;other
214;female;other;588.699.989.318.848;no;no;yes;no;6;964.000.034.332.275;1.5;115.242.004.394.531;12;low;other
215;female;other;541.699.981.689.453;yes;no;yes;no;6;964.000.034.332.275;1.5;115.242.004.394.531;16;high;other
216;female;other;587.299.995.422.363;yes;no;yes;no;6;964.000.034.332.275;1.5;115.242.004.394.531;16;low;other
217;female;other;588.400.001.525.879;no;yes;yes;no;6;964.000.034.332.275;1.5;115.242.004.394.531;16;low;other
